,group_id,user_id,item_id,score,label,score_rank
0,0,0,38,0.5113156521513135,0,0
1,0,0,53,0.3847025309353105,0,1
3,0,0,24,0.36843111933129585,0,2
2,0,0,76,-0.3988509680030096,0,3
8,1,1,76,1.3181515541801367,0,0
4,1,1,80,0.405453411570191,0,1
5,1,1,73,0.2890919409800353,0,2
6,1,1,47,-0.2026463246291819,1,3
9,1,1,37,-0.4693052847058996,0,4
7,1,1,50,-0.6559693441389339,0,5
11,2,2,13,2.29022654822051,0,0
10,2,2,87,-1.7811475108053065,0,1
15,3,3,72,1.4131380420289057,0,0
14,3,3,41,0.532767523958594,0,1
13,3,3,16,0.32539432310731303,0,2
12,3,3,45,-0.07051305197034868,0,3
16,3,3,56,-0.30914715654482894,0,4
19,4,4,55,1.2752843522202948,0,0
20,4,4,78,0.7773617970265913,0,1
18,4,4,89,0.5312548956715132,0,2
21,4,4,23,0.3251134999596785,0,3
17,4,4,82,-2.032395954389409,0,4
24,5,5,41,0.732864503436033,0,0
26,5,5,14,0.4535019679051901,1,1
25,5,5,1,0.19653370946446871,0,2
23,5,5,85,0.014385457025935054,0,3
22,5,5,64,-0.19813352192926642,0,4
35,6,6,55,1.4351033705784695,0,0
29,6,6,2,0.8623456094167166,0,1
30,6,6,79,0.42555168623642914,0,2
32,6,6,46,0.1968947838394229,1,3
31,6,6,67,-0.06375825229788935,1,4
33,6,6,98,-0.11313817981633564,0,5
27,6,6,2,-0.6453665721764561,0,6
28,6,6,16,-0.7126305543210201,0,7
34,6,6,57,-1.0008893073927043,1,8
36,7,7,30,0.17198357599676975,0,0
37,7,7,38,-0.19116303675112625,0,1
38,8,8,47,0.8754755042743244,1,0
42,8,8,22,0.6806560043814565,0,1
45,8,8,41,0.3948442093272043,0,2
44,8,8,19,0.047071635325711084,0,3
41,8,8,21,-0.18217541166573417,0,4
40,8,8,25,-0.20393286610125122,1,5
46,8,8,47,-0.682883996449334,0,6
39,8,8,87,-1.710715324029529,0,7
43,8,8,45,-1.8184989903916142,1,8
47,9,9,13,0.4362576043409168,0,0
51,10,10,9,0.14154815800275197,0,0
50,10,10,83,0.004971425955835229,0,1
48,10,10,57,-1.0320878085392748,0,2
49,10,10,60,-1.6830091937438176,0,3
56,11,11,63,1.5083552645225988,0,0
52,11,11,5,-0.0101398031846815,0,1
55,11,11,72,-0.039050941058312826,0,2
53,11,11,83,-0.06604234693494394,0,3
54,11,11,72,-0.23444705967078408,0,4
58,12,12,14,1.3577972581070583,0,0
61,12,12,65,0.33419793089900884,0,1
57,12,12,93,0.16145864347774755,0,2
59,12,12,47,-0.8048337241667037,0,3
60,12,12,75,-0.886719352485378,0,4
69,13,13,16,1.4229859527722433,0,0
62,13,13,94,0.6287758265382943,0,1
70,13,13,6,0.3635645568066484,0,2
63,13,13,95,0.18649434877307466,0,3
66,13,13,23,0.13968327403129469,0,4
64,13,13,55,-0.07260831396267549,0,5
67,13,13,58,-0.22301898188247601,0,6
65,13,13,53,-0.5506029235634193,0,7
68,13,13,96,-1.4094317399227687,0,8
72,14,14,69,4.363918886157094,0,0
73,14,14,50,-0.010036787489947435,1,1
71,14,14,25,-0.014752111804594866,0,2
74,14,14,15,-0.7220199052333928,1,3
75,14,14,84,-0.9471748309975255,1,4
76,15,15,80,1.438115303554158,0,0
80,15,15,63,1.3155624008029714,1,1
78,15,15,54,0.2400544532182978,0,2
79,15,15,90,-0.0570568752515143,0,3
77,15,15,5,-0.3554203522993232,1,4
85,16,16,26,1.92453332001529,0,0
82,16,16,34,0.7491846009241975,1,1
86,16,16,10,0.22636322725170696,0,2
81,16,16,70,0.08929064236576761,0,3
84,16,16,41,-0.2766461272769873,1,4
83,16,16,70,-0.6755214784366882,0,5
88,17,17,35,-0.677097151860045,0,0
87,17,17,58,-2.0786178937021753,0,1
89,18,18,95,1.7013493047628243,0,0
90,19,19,26,-0.02911123361685782,1,0
91,19,19,15,-0.2949290796676546,0,1
92,19,19,6,-0.921988278762911,0,2
